repo,id,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,majority_vote,final_label
KozGit/DOOM-3-BFG-VR,379,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
unavi-xyz/unavi,109,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
BasisVR/Basis,118,visual,visual,visual,visual,visual,visual,visual
VisActor/VRender,991,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
DaXcess/LCVR,112,visual,visual,visual,visual,visual,visual,visual
hackforla/VRMS,709,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Chainsawkitten/Deathcap,291,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
playcanvas/engine,2056,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,3289,visual,visual,visual,visual,visual,visual,visual
praydog/REFramework,880,visual,visual,visual,visual,visual,visual,visual
mrdoob/three.js,20328,visual,visual,visual,visual,visual,visual,visual
webaverse/app,1177,visual,visual,visual,visual,visual,visual,visual
vrchatapi/vrchatapi.github.io,22,non_visual,non_visual,visual,non_visual,non_visual,non_visual,non_visual
